Course,Credit,Lab,Difficulty,Material,Study Time,Weight
ME 233,4.00,1.00,9.00,9.00,9.00,3.645
PHYS 101,4.00,1.00,8.00,9.00,9.00,3.24
PHYS 102,4.00,1.00,9.00,9.00,8.00,3.24
ME 233,4.00,1.00,9.00,8.00,9.00,3.24
ME 343,4.00,1.00,9.00,8.00,9.00,3.24
ME 343,4.00,1.00,8.00,9.00,9.00,3.24
ME 431,4.00,1.00,9.00,9.00,8.00,3.24
ME 431,4.00,1.00,8.00,9.00,9.00,3.24
MATH 102,4.00,0.00,9.00,9.00,9.00,2.916
MATH 102,4.00,0.00,9.00,9.00,9.00,2.916
CHEM 101,4.00,1.00,9.00,8.00,8.00,2.88
CHEM 101,4.00,1.00,8.00,9.00,8.00,2.88
CHEM 101,4.00,1.00,9.00,8.00,8.00,2.88
PHYS 102,4.00,1.00,9.00,8.00,8.00,2.88
PHYS 102,4.00,1.00,8.00,9.00,8.00,2.88
ME 431,4.00,1.00,9.00,8.00,8.00,2.88
ME 431,4.00,1.00,8.00,8.00,9.00,2.88
CHEM 101,4.00,1.00,9.00,7.00,9.00,2.835
PHYS 101,4.00,1.00,7.00,9.00,9.00,2.835
PHYS 101,4.00,1.00,9.00,9.00,7.00,2.835
PHYS 102,4.00,1.00,9.00,7.00,9.00,2.835
ME 233,4.00,1.00,9.00,7.00,9.00,2.835
ME 343,4.00,1.00,9.00,7.00,9.00,2.835
ME 431,4.00,1.00,9.00,7.00,9.00,2.835
MATH 102,4.00,0.00,9.00,9.00,8.00,2.592
MATH 102,4.00,0.00,8.00,9.00,9.00,2.592
PHYS 102,4.00,1.00,8.00,8.00,8.00,2.56
ME 431,4.00,1.00,8.00,8.00,8.00,2.56
ME 431,4.00,1.00,8.00,8.00,8.00,2.56
ME 431,4.00,1.00,8.00,8.00,8.00,2.56
CHEM 101,4.00,1.00,9.00,7.00,8.00,2.52
CHEM 101,4.00,1.00,9.00,8.00,7.00,2.52
PHYS 101,4.00,1.00,9.00,8.00,7.00,2.52
PHYS 101,4.00,1.00,8.00,7.00,9.00,2.52
PHYS 101,4.00,1.00,8.00,9.00,7.00,2.52
PHYS 102,4.00,1.00,9.00,7.00,8.00,2.52
ME 343,4.00,1.00,7.00,8.00,9.00,2.52
ME 431,4.00,1.00,8.00,9.00,7.00,2.52
ME 431,4.00,1.00,9.00,7.00,8.00,2.52
CHEM 101,4.00,1.00,6.00,9.00,9.00,2.43
PHYS 102,4.00,1.00,9.00,6.00,9.00,2.43
ME 233,4.00,1.00,9.00,9.00,6.00,2.43
ME 343,4.00,1.00,9.00,6.00,9.00,2.43
ME 431,4.00,1.00,6.00,9.00,9.00,2.43
ME 431,4.00,1.00,6.00,9.00,9.00,2.43
MATH 101,4.00,0.00,9.00,8.00,8.00,2.304
MATH 102,4.00,0.00,8.00,8.00,9.00,2.304
ICS 103,3.00,1.00,8.00,8.00,9.00,2.304
STAT 319,3.00,1.00,8.00,9.00,8.00,2.304
MATH 101,4.00,0.00,7.00,9.00,9.00,2.268
MATH 102,4.00,0.00,9.00,9.00,7.00,2.268
MATH 102,4.00,0.00,9.00,7.00,9.00,2.268
ICS 103,3.00,1.00,9.00,7.00,9.00,2.268
STAT 319,3.00,1.00,9.00,9.00,7.00,2.268
STAT 319,3.00,1.00,9.00,7.00,9.00,2.268
STAT 319,3.00,1.00,9.00,7.00,9.00,2.268
STAT 319,3.00,1.00,9.00,7.00,9.00,2.268
PHYS 101,4.00,1.00,8.00,8.00,7.00,2.24
PHYS 101,4.00,1.00,7.00,8.00,8.00,2.24
ME 201,4.00,1.00,7.00,8.00,8.00,2.24
ME 233,4.00,1.00,8.00,8.00,7.00,2.24
ME 343,4.00,1.00,7.00,8.00,8.00,2.24
ME 431,4.00,1.00,7.00,8.00,8.00,2.24
ME 431,4.00,1.00,7.00,8.00,8.00,2.24
ME 431,4.00,1.00,8.00,8.00,7.00,2.24
CHEM 101,4.00,1.00,7.00,9.00,7.00,2.205
PHYS 101,4.00,1.00,9.00,7.00,7.00,2.205
PHYS 101,4.00,1.00,7.00,7.00,9.00,2.205
ME 233,4.00,1.00,9.00,7.00,7.00,2.205
ME 431,4.00,1.00,7.00,7.00,9.00,2.205
ME 431,4.00,1.00,9.00,7.00,7.00,2.205
ME 431,4.00,1.00,7.00,7.00,9.00,2.205
ME 431,4.00,1.00,9.00,7.00,7.00,2.205
MATH 201,3.00,0.00,9.00,9.00,9.00,2.187
MATH 201,3.00,0.00,9.00,9.00,9.00,2.187
CHE 387,3.00,0.00,9.00,9.00,9.00,2.187
CHEM 101,4.00,1.00,9.00,8.00,6.00,2.16
CHEM 101,4.00,1.00,9.00,6.00,8.00,2.16
CHEM 101,4.00,1.00,6.00,9.00,8.00,2.16
CHEM 101,4.00,1.00,9.00,8.00,6.00,2.16
CHEM 101,4.00,1.00,6.00,8.00,9.00,2.16
CHEM 101,4.00,1.00,6.00,8.00,9.00,2.16
CHEM 101,4.00,1.00,6.00,9.00,8.00,2.16
PHYS 101,4.00,1.00,6.00,9.00,8.00,2.16
PHYS 101,4.00,1.00,9.00,8.00,6.00,2.16
PHYS 101,4.00,1.00,8.00,6.00,9.00,2.16
PHYS 102,4.00,1.00,8.00,6.00,9.00,2.16
PHYS 102,4.00,1.00,8.00,9.00,6.00,2.16
PHYS 102,4.00,1.00,9.00,8.00,6.00,2.16
PHYS 102,4.00,1.00,9.00,8.00,6.00,2.16
ME 343,4.00,1.00,9.00,8.00,6.00,2.16
ME 343,4.00,1.00,8.00,9.00,6.00,2.16
ME 431,4.00,1.00,8.00,9.00,6.00,2.16
ME 431,4.00,1.00,6.00,8.00,9.00,2.16
ICS 103,3.00,1.00,8.00,8.00,8.00,2.048
MATH 101,4.00,0.00,8.00,9.00,7.00,2.016
MATH 101,4.00,0.00,8.00,9.00,7.00,2.016
MATH 102,4.00,0.00,8.00,9.00,7.00,2.016
ICS 103,3.00,1.00,7.00,8.00,9.00,2.016
STAT 319,3.00,1.00,9.00,8.00,7.00,2.016
STAT 319,3.00,1.00,8.00,9.00,7.00,2.016
CHEM 101,4.00,1.00,8.00,7.00,7.00,1.96
CHEM 101,4.00,1.00,7.00,7.00,8.00,1.96
PHYS 101,4.00,1.00,7.00,8.00,7.00,1.96
PHYS 101,4.00,1.00,7.00,7.00,8.00,1.96
ME 431,4.00,1.00,7.00,7.00,8.00,1.96
ME 431,4.00,1.00,8.00,7.00,7.00,1.96
ME 431,4.00,1.00,7.00,7.00,8.00,1.96
MATH 101,4.00,0.00,9.00,6.00,9.00,1.944
MATH 102,4.00,0.00,6.00,9.00,9.00,1.944
MATH 102,4.00,0.00,9.00,9.00,6.00,1.944
MATH 102,4.00,0.00,9.00,9.00,6.00,1.944
MATH 102,4.00,0.00,9.00,6.00,9.00,1.944
ICS 103,3.00,1.00,9.00,6.00,9.00,1.944
ICS 103,3.00,1.00,9.00,6.00,9.00,1.944
COE 202,3.00,0.00,9.00,8.00,9.00,1.944
COE 202,3.00,0.00,9.00,8.00,9.00,1.944
STAT 319,3.00,1.00,9.00,6.00,9.00,1.944
STAT 319,3.00,1.00,9.00,9.00,6.00,1.944
CHE 363,3.00,0.00,9.00,8.00,9.00,1.944
ME 381,3.00,0.00,9.00,9.00,8.00,1.944
ME 381,3.00,0.00,8.00,9.00,9.00,1.944
ME 485,3.00,0.00,8.00,9.00,9.00,1.944
ME 471,3.00,0.00,9.00,8.00,9.00,1.944
ME 471,3.00,0.00,9.00,9.00,8.00,1.944
CHEM 101,4.00,1.00,8.00,8.00,6.00,1.92
CHEM 101,4.00,1.00,8.00,8.00,6.00,1.92
PHYS 101,4.00,1.00,6.00,8.00,8.00,1.92
PHYS 102,4.00,1.00,8.00,6.00,8.00,1.92
PHYS 102,4.00,1.00,8.00,8.00,6.00,1.92
ME 233,4.00,1.00,8.00,8.00,6.00,1.92
ME 233,4.00,1.00,8.00,8.00,6.00,1.92
ME 233,4.00,1.00,8.00,8.00,6.00,1.92
ME 343,4.00,1.00,6.00,8.00,8.00,1.92
ME 431,4.00,1.00,6.00,8.00,8.00,1.92
CHEM 101,4.00,1.00,7.00,9.00,6.00,1.89
CHEM 101,4.00,1.00,9.00,7.00,6.00,1.89
PHYS 101,4.00,1.00,7.00,6.00,9.00,1.89
PHYS 101,4.00,1.00,7.00,9.00,6.00,1.89
PHYS 102,4.00,1.00,7.00,6.00,9.00,1.89
PHYS 102,4.00,1.00,6.00,9.00,7.00,1.89
ME 201,4.00,1.00,6.00,7.00,9.00,1.89
ME 201,4.00,1.00,7.00,6.00,9.00,1.89
ME 233,4.00,1.00,6.00,7.00,9.00,1.89
ME 431,4.00,1.00,6.00,7.00,9.00,1.89
ME 431,4.00,1.00,6.00,9.00,7.00,1.89
PHYS 101,4.00,1.00,9.00,5.00,8.00,1.8
PHYS 101,4.00,1.00,8.00,5.00,9.00,1.8
ME 201,4.00,1.00,5.00,8.00,9.00,1.8
ME 233,4.00,1.00,8.00,9.00,5.00,1.8
ME 233,4.00,1.00,5.00,8.00,9.00,1.8
ME 233,4.00,1.00,8.00,5.00,9.00,1.8
ME 233,4.00,1.00,5.00,8.00,9.00,1.8
ME 233,4.00,1.00,9.00,5.00,8.00,1.8
ME 343,4.00,1.00,9.00,5.00,8.00,1.8
MATH 101,4.00,0.00,8.00,8.00,7.00,1.792
MATH 101,4.00,0.00,7.00,8.00,8.00,1.792
MATH 101,4.00,0.00,9.00,7.00,7.00,1.764
STAT 319,3.00,1.00,7.00,9.00,7.00,1.764
STAT 319,3.00,1.00,7.00,9.00,7.00,1.764
MATH 102,4.00,0.00,9.00,6.00,8.00,1.728
MATH 102,4.00,0.00,9.00,8.00,6.00,1.728
ICS 103,3.00,1.00,6.00,8.00,9.00,1.728
COE 202,3.00,0.00,9.00,8.00,8.00,1.728
STAT 319,3.00,1.00,8.00,9.00,6.00,1.728
STAT 319,3.00,1.00,9.00,6.00,8.00,1.728
STAT 319,3.00,1.00,9.00,6.00,8.00,1.728
ME 381,3.00,0.00,9.00,8.00,8.00,1.728
PHYS 101,4.00,1.00,7.00,7.00,7.00,1.715
ME 324,4.00,1.00,7.00,7.00,7.00,1.715
MATH 201,3.00,0.00,9.00,7.00,9.00,1.701
MATH 201,3.00,0.00,9.00,9.00,7.00,1.701
COE 202,3.00,0.00,9.00,7.00,9.00,1.701
CHE 363,3.00,0.00,9.00,7.00,9.00,1.701
CHE 363,3.00,0.00,9.00,7.00,9.00,1.701
CHE 363,3.00,0.00,9.00,9.00,7.00,1.701
CHE 387,3.00,0.00,9.00,9.00,7.00,1.701
ME 485,3.00,0.00,9.00,9.00,7.00,1.701
ME 471,3.00,0.00,9.00,9.00,7.00,1.701
CHEM 101,4.00,1.00,7.00,8.00,6.00,1.68
CHEM 101,4.00,1.00,6.00,8.00,7.00,1.68
PHYS 101,4.00,1.00,7.00,8.00,6.00,1.68
PHYS 102,4.00,1.00,7.00,8.00,6.00,1.68
PHYS 102,4.00,1.00,7.00,6.00,8.00,1.68
PHYS 102,4.00,1.00,8.00,7.00,6.00,1.68
PHYS 102,4.00,1.00,8.00,6.00,7.00,1.68
ME 201,4.00,1.00,6.00,7.00,8.00,1.68
ME 201,4.00,1.00,6.00,7.00,8.00,1.68
ME 233,4.00,1.00,7.00,8.00,6.00,1.68
ME 233,4.00,1.00,6.00,7.00,8.00,1.68
ME 343,4.00,1.00,7.00,8.00,6.00,1.68
ME 343,4.00,1.00,6.00,8.00,7.00,1.68
ME 343,4.00,1.00,8.00,6.00,7.00,1.68
ME 343,4.00,1.00,8.00,7.00,6.00,1.68
ME 343,4.00,1.00,6.00,8.00,7.00,1.68
ME 431,4.00,1.00,6.00,7.00,8.00,1.68
CHEM 101,4.00,1.00,6.00,9.00,6.00,1.62
CHEM 101,4.00,1.00,6.00,6.00,9.00,1.62
PHYS 101,4.00,1.00,6.00,9.00,6.00,1.62
PHYS 101,4.00,1.00,6.00,9.00,6.00,1.62
PHYS 102,4.00,1.00,6.00,9.00,6.00,1.62
ME 233,4.00,1.00,6.00,9.00,6.00,1.62
STAT 319,3.00,1.00,9.00,5.00,9.00,1.62
STAT 319,3.00,1.00,9.00,5.00,9.00,1.62
ME 343,4.00,1.00,6.00,9.00,6.00,1.62
ME 343,4.00,1.00,6.00,6.00,9.00,1.62
ME 343,4.00,1.00,9.00,6.00,6.00,1.62
ME 343,4.00,1.00,9.00,6.00,6.00,1.62
ME 343,4.00,1.00,8.00,5.00,8.00,1.6
ME 233,4.00,1.00,9.00,7.00,5.00,1.575
ME 343,4.00,1.00,9.00,5.00,7.00,1.575
MATH 101,4.00,0.00,7.00,7.00,8.00,1.568
MATH 101,4.00,0.00,8.00,7.00,7.00,1.568
MATH 101,4.00,0.00,7.00,8.00,7.00,1.568
STAT 319,3.00,1.00,8.00,7.00,7.00,1.568
STAT 319,3.00,1.00,7.00,8.00,7.00,1.568
MATH 101,4.00,0.00,8.00,8.00,6.00,1.536
MATH 101,4.00,0.00,6.00,8.00,8.00,1.536
MATH 101,4.00,0.00,8.00,6.00,8.00,1.536
MATH 201,3.00,0.00,8.00,8.00,8.00,1.536
STAT 319,3.00,1.00,6.00,8.00,8.00,1.536
CHE 363,3.00,0.00,8.00,8.00,8.00,1.536
ME 471,3.00,0.00,8.00,8.00,8.00,1.536
MATH 101,4.00,0.00,9.00,7.00,6.00,1.512
MATH 101,4.00,0.00,6.00,7.00,9.00,1.512
MATH 101,4.00,0.00,9.00,6.00,7.00,1.512
MATH 101,4.00,0.00,6.00,7.00,9.00,1.512
MATH 102,4.00,0.00,7.00,9.00,6.00,1.512
MATH 102,4.00,0.00,9.00,7.00,6.00,1.512
MATH 102,4.00,0.00,6.00,9.00,7.00,1.512
MATH 102,4.00,0.00,9.00,7.00,6.00,1.512
MATH 102,4.00,0.00,6.00,9.00,7.00,1.512
MATH 201,3.00,0.00,8.00,7.00,9.00,1.512
COE 202,3.00,0.00,9.00,7.00,8.00,1.512
CHE 205,3.00,0.00,7.00,9.00,8.00,1.512
STAT 319,3.00,1.00,9.00,7.00,6.00,1.512
STAT 319,3.00,1.00,6.00,7.00,9.00,1.512
CHE 363,3.00,0.00,7.00,9.00,8.00,1.512
CHE 363,3.00,0.00,9.00,7.00,8.00,1.512
CHE 387,3.00,0.00,8.00,9.00,7.00,1.512
CHE 387,3.00,0.00,7.00,8.00,9.00,1.512
ME 381,3.00,0.00,9.00,7.00,8.00,1.512
ME 381,3.00,0.00,7.00,8.00,9.00,1.512
ME 381,3.00,0.00,7.00,9.00,8.00,1.512
ME 485,3.00,0.00,9.00,7.00,8.00,1.512
ME 485,3.00,0.00,9.00,8.00,7.00,1.512
ME 485,3.00,0.00,8.00,7.00,9.00,1.512
ME 471,3.00,0.00,9.00,7.00,8.00,1.512
CHEM 101,4.00,1.00,7.00,7.00,6.00,1.47
PHYS 101,4.00,1.00,7.00,7.00,6.00,1.47
ME 233,4.00,1.00,6.00,7.00,7.00,1.47
ME 324,4.00,1.00,6.00,7.00,7.00,1.47
ME 431,4.00,1.00,7.00,7.00,6.00,1.47
ME 431,4.00,1.00,6.00,7.00,7.00,1.47
MATH 201,3.00,0.00,9.00,9.00,6.00,1.458
CHE 363,3.00,0.00,9.00,6.00,9.00,1.458
CHE 387,3.00,0.00,9.00,6.00,9.00,1.458
CHE 387,3.00,0.00,9.00,9.00,6.00,1.458
ME 381,3.00,0.00,6.00,9.00,9.00,1.458
ME 381,3.00,0.00,9.00,9.00,6.00,1.458
ME 485,3.00,0.00,9.00,6.00,9.00,1.458
ME 471,3.00,0.00,9.00,9.00,6.00,1.458
CHEM 101,4.00,1.00,6.00,6.00,8.00,1.44
PHYS 101,4.00,1.00,8.00,6.00,6.00,1.44
PHYS 101,4.00,1.00,8.00,6.00,6.00,1.44
MATH 101,4.00,0.00,8.00,5.00,9.00,1.44
MATH 101,4.00,0.00,8.00,5.00,9.00,1.44
PHYS 102,4.00,1.00,8.00,6.00,6.00,1.44
MATH 102,4.00,0.00,9.00,5.00,8.00,1.44
ICS 103,3.00,1.00,8.00,5.00,9.00,1.44
ICS 103,3.00,1.00,8.00,5.00,9.00,1.44
ME 202,4.00,0.00,8.00,5.00,9.00,1.44
ME 202,4.00,0.00,8.00,5.00,9.00,1.44
ME 233,4.00,1.00,6.00,8.00,6.00,1.44
STAT 319,3.00,1.00,8.00,5.00,9.00,1.44
STAT 319,3.00,1.00,8.00,5.00,9.00,1.44
STAT 319,3.00,1.00,8.00,5.00,9.00,1.44
ME 343,4.00,1.00,6.00,6.00,8.00,1.44
ME 343,4.00,1.00,6.00,6.00,8.00,1.44
PHYS 102,4.00,1.00,7.00,5.00,8.00,1.4
ME 201,4.00,1.00,5.00,7.00,8.00,1.4
ME 201,4.00,1.00,7.00,5.00,8.00,1.4
ME 201,4.00,1.00,7.00,5.00,8.00,1.4
ME 233,4.00,1.00,8.00,7.00,5.00,1.4
ME 324,4.00,1.00,5.00,7.00,8.00,1.4
ME 324,4.00,1.00,5.00,7.00,8.00,1.4
PHYS 102,4.00,1.00,9.00,5.00,6.00,1.35
PHYS 102,4.00,1.00,6.00,5.00,9.00,1.35
PHYS 102,4.00,1.00,9.00,5.00,6.00,1.35
ME 233,4.00,1.00,6.00,9.00,5.00,1.35
ME 233,4.00,1.00,5.00,6.00,9.00,1.35
ME 343,4.00,1.00,6.00,5.00,9.00,1.35
MATH 101,4.00,0.00,8.00,6.00,7.00,1.344
MATH 101,4.00,0.00,6.00,7.00,8.00,1.344
MATH 101,4.00,0.00,6.00,7.00,8.00,1.344
MATH 101,4.00,0.00,8.00,6.00,7.00,1.344
MATH 102,4.00,0.00,8.00,7.00,6.00,1.344
MATH 102,4.00,0.00,6.00,8.00,7.00,1.344
MATH 102,4.00,0.00,7.00,8.00,6.00,1.344
MATH 201,3.00,0.00,8.00,7.00,8.00,1.344
COE 202,3.00,0.00,7.00,8.00,8.00,1.344
STAT 319,3.00,1.00,6.00,8.00,7.00,1.344
CHE 363,3.00,0.00,8.00,8.00,7.00,1.344
CHE 363,3.00,0.00,7.00,8.00,8.00,1.344
CHE 387,3.00,0.00,8.00,7.00,8.00,1.344
CHE 387,3.00,0.00,7.00,8.00,8.00,1.344
CHE 387,3.00,0.00,8.00,8.00,7.00,1.344
ME 381,3.00,0.00,8.00,7.00,8.00,1.344
ME 485,3.00,0.00,8.00,8.00,7.00,1.344
ME 471,3.00,0.00,7.00,8.00,8.00,1.344
ME 471,3.00,0.00,8.00,7.00,8.00,1.344
MATH 201,3.00,0.00,7.00,9.00,7.00,1.323
MATH 201,3.00,0.00,7.00,7.00,9.00,1.323
CHE 205,3.00,0.00,7.00,7.00,9.00,1.323
CHE 387,3.00,0.00,7.00,7.00,9.00,1.323
CHE 417,3.00,0.00,7.00,7.00,9.00,1.323
ME 471,3.00,0.00,9.00,7.00,7.00,1.323
ME 471,3.00,0.00,9.00,7.00,7.00,1.323
MATH 101,4.00,0.00,9.00,6.00,6.00,1.296
MATH 101,4.00,0.00,6.00,6.00,9.00,1.296
MATH 102,4.00,0.00,6.00,9.00,6.00,1.296
ICS 103,3.00,1.00,9.00,6.00,6.00,1.296
COE 202,3.00,0.00,6.00,8.00,9.00,1.296
COE 202,3.00,0.00,9.00,6.00,8.00,1.296
ENGL 214,3.00,0.00,9.00,6.00,8.00,1.296
STAT 319,3.00,1.00,6.00,6.00,9.00,1.296
STAT 319,3.00,1.00,9.00,6.00,6.00,1.296
CHE 363,3.00,0.00,8.00,9.00,6.00,1.296
ME 381,3.00,0.00,6.00,8.00,9.00,1.296
ME 381,3.00,0.00,9.00,8.00,6.00,1.296
ME 381,3.00,0.00,8.00,6.00,9.00,1.296
ME 381,3.00,0.00,6.00,8.00,9.00,1.296
ME 381,3.00,0.00,8.00,9.00,6.00,1.296
ME 485,3.00,0.00,8.00,9.00,6.00,1.296
ME 485,3.00,0.00,8.00,9.00,6.00,1.296
ME 485,3.00,0.00,9.00,8.00,6.00,1.296
ME 471,3.00,0.00,8.00,6.00,9.00,1.296
ME 471,3.00,0.00,6.00,8.00,9.00,1.296
ME 471,3.00,0.00,8.00,6.00,9.00,1.296
CHEM 101,4.00,1.00,6.00,6.00,7.00,1.26
CHEM 101,4.00,1.00,6.00,6.00,7.00,1.26
CHEM 101,4.00,1.00,6.00,7.00,6.00,1.26
MATH 102,4.00,0.00,7.00,5.00,9.00,1.26
ICS 103,3.00,1.00,5.00,7.00,9.00,1.26
ICS 103,3.00,1.00,9.00,5.00,7.00,1.26
ME 201,4.00,1.00,7.00,6.00,6.00,1.26
ME 324,4.00,1.00,6.00,6.00,7.00,1.26
ME 343,4.00,1.00,7.00,6.00,6.00,1.26
PHYS 101,4.00,1.00,7.00,5.00,7.00,1.225
ME 201,4.00,1.00,5.00,7.00,7.00,1.225
MATH 201,3.00,0.00,9.00,5.00,9.00,1.215
ME 485,3.00,0.00,9.00,5.00,9.00,1.215
PHYS 101,4.00,1.00,8.00,5.00,6.00,1.2
PHYS 102,4.00,1.00,8.00,5.00,6.00,1.2
PHYS 102,4.00,1.00,8.00,5.00,6.00,1.2
ME 233,4.00,1.00,8.00,5.00,6.00,1.2
ME 324,4.00,1.00,6.00,5.00,8.00,1.2
MATH 101,4.00,0.00,7.00,6.00,7.00,1.176
MATH 101,4.00,0.00,7.00,6.00,7.00,1.176
MATH 201,3.00,0.00,8.00,7.00,7.00,1.176
MATH 201,3.00,0.00,8.00,7.00,7.00,1.176
COE 202,3.00,0.00,7.00,7.00,8.00,1.176
CHE 316,3.00,0.00,7.00,8.00,7.00,1.176
STAT 319,3.00,1.00,6.00,7.00,7.00,1.176
STAT 319,3.00,1.00,7.00,7.00,6.00,1.176
CHE 363,3.00,0.00,8.00,7.00,7.00,1.176
CHE 387,3.00,0.00,7.00,7.00,8.00,1.176
ME 381,3.00,0.00,8.00,7.00,7.00,1.176
ME 381,3.00,0.00,7.00,8.00,7.00,1.176
ME 485,3.00,0.00,7.00,7.00,8.00,1.176
ME 485,3.00,0.00,8.00,7.00,7.00,1.176
ME 485,3.00,0.00,7.00,8.00,7.00,1.176
ME 471,3.00,0.00,7.00,7.00,8.00,1.176
MATH 101,4.00,0.00,8.00,6.00,6.00,1.152
MATH 102,4.00,0.00,8.00,6.00,6.00,1.152
MATH 201,3.00,0.00,6.00,8.00,8.00,1.152
MATH 201,3.00,0.00,8.00,6.00,8.00,1.152
COE 202,3.00,0.00,8.00,6.00,8.00,1.152
ENGL 214,3.00,0.00,8.00,6.00,8.00,1.152
CHE 316,3.00,0.00,6.00,8.00,8.00,1.152
CHE 363,3.00,0.00,8.00,8.00,6.00,1.152
CHE 387,3.00,0.00,8.00,8.00,6.00,1.152
ME 485,3.00,0.00,8.00,8.00,6.00,1.152
ME 471,3.00,0.00,6.00,8.00,8.00,1.152
ENGL 102,3.00,0.00,7.00,6.00,9.00,1.134
MATH 201,3.00,0.00,7.00,6.00,9.00,1.134
CHE 205,3.00,0.00,6.00,9.00,7.00,1.134
CHE 205,3.00,0.00,7.00,9.00,6.00,1.134
ENGL 214,3.00,0.00,7.00,6.00,9.00,1.134
ISE 307,3.00,0.00,6.00,7.00,9.00,1.134
CHE 363,3.00,0.00,9.00,7.00,6.00,1.134
CHE 363,3.00,0.00,7.00,9.00,6.00,1.134
CHE 363,3.00,0.00,6.00,7.00,9.00,1.134
CHE 387,3.00,0.00,9.00,7.00,6.00,1.134
CHE 417,3.00,0.00,6.00,7.00,9.00,1.134
CHE 417,3.00,0.00,7.00,6.00,9.00,1.134
ME 381,3.00,0.00,6.00,7.00,9.00,1.134
ME 381,3.00,0.00,9.00,6.00,7.00,1.134
ME 485,3.00,0.00,9.00,6.00,7.00,1.134
ME 485,3.00,0.00,7.00,9.00,6.00,1.134
ME 485,3.00,0.00,6.00,7.00,9.00,1.134
ME 485,3.00,0.00,9.00,6.00,7.00,1.134
ME 471,3.00,0.00,7.00,6.00,9.00,1.134
ME 471,3.00,0.00,9.00,7.00,6.00,1.134
ME 471,3.00,0.00,9.00,6.00,7.00,1.134
ME 233,4.00,1.00,9.00,5.00,5.00,1.125
MATH 102,4.00,0.00,8.00,5.00,7.00,1.12
MATH 102,4.00,0.00,8.00,5.00,7.00,1.12
ICS 103,3.00,1.00,5.00,8.00,7.00,1.12
ICS 103,3.00,1.00,7.00,5.00,8.00,1.12
CHE 215,3.00,1.00,5.00,7.00,8.00,1.12
CHE 215,3.00,1.00,7.00,5.00,8.00,1.12
PHYS 101,4.00,1.00,6.00,6.00,6.00,1.08
MATH 102,4.00,0.00,9.00,5.00,6.00,1.08
ICS 103,3.00,1.00,5.00,6.00,9.00,1.08
ME 201,4.00,1.00,6.00,4.00,9.00,1.08
ME 201,4.00,1.00,3.00,8.00,9.00,1.08
STAT 319,3.00,1.00,9.00,5.00,6.00,1.08
CHE 387,3.00,0.00,5.00,8.00,9.00,1.08
CHE 387,3.00,0.00,8.00,5.00,9.00,1.08
ME 485,3.00,0.00,9.00,5.00,8.00,1.08
PHYS 102,4.00,1.00,6.00,5.00,7.00,1.05
ME 201,4.00,1.00,5.00,6.00,7.00,1.05
ME 233,4.00,1.00,6.00,5.00,7.00,1.05
ME 324,4.00,1.00,7.00,5.00,6.00,1.05
ME 324,4.00,1.00,7.00,5.00,6.00,1.05
ME 324,4.00,1.00,6.00,5.00,7.00,1.05
ME 343,4.00,1.00,7.00,5.00,6.00,1.05
ME 343,4.00,1.00,7.00,5.00,6.00,1.05
ICS 103,3.00,1.00,8.00,4.00,8.00,1.024
ME 202,4.00,0.00,8.00,4.00,8.00,1.024
ENGL 102,3.00,0.00,7.00,6.00,8.00,1.008
ICS 103,3.00,1.00,6.00,7.00,6.00,1.008
ICS 103,3.00,1.00,6.00,7.00,6.00,1.008
MATH 201,3.00,0.00,8.00,6.00,7.00,1.008
MATH 201,3.00,0.00,8.00,7.00,6.00,1.008
ME 202,4.00,0.00,6.00,6.00,7.00,1.008
